ETH/USDT,(20X) ,做空,做空,3285.82,3155.81,04/08 23:20:05,04/11 10:55:47,79.13%,Chan
ETH/USDT,(20X) ,做空,做空,3285.82,3155.81,04/08 23:20:05,04/11 10:55:48,79.13%,Chan
ETH/USDT,(20X) ,做空,做空,3285.82,3155.81,04/08 23:20:16,04/11 10:55:48,79.13%,Chan
ETH/USDT,(20X) ,做空,做空,3285.82,3155.81,04/08 23:20:16,04/11 10:55:49,79.13%,Chan
ETH/USDT,(20X) ,做空,做空,3285.82,3155.81,04/08 23:20:17,04/11 10:55:48,79.13%,Chan
ETH/USDT,(20X) ,做空,做空,3285.83,3155.81,04/08 23:20:19,04/11 10:55:48,79.13%,Chan
WAVES/USDT,(10X) ,做多,做多,22.6665,22.5418,04/12 11:53:54,04/12 11:58:54,-5.50%,Chan
ETH/USDT,(20X) ,做空,做空,3006.82,3004.11,04/12 14:44:29,04/13 05:28:59,1.79%,Chan
ETH/USDT,(20X) ,做空,做空,3009.39,3004.03,04/12 15:17:49,04/13 05:28:56,3.56%,Chan
ETH/USDT,(20X) ,做空,做空,3044.31,3037.63,04/13 11:00:09,04/13 18:29:48,4.38%,Chan
BTC/USDT,(15X) ,做空,做空,40587.25,41107.48,04/13 22:11:19,04/13 23:40:59,-19.22%,Chan
ETH/USDT,(20X) ,做空,做空,3085.14,3054.28,04/13 22:15:15,04/14 21:52:01,20.00%,Chan
ETH/USDT,(20X) ,做空,做空,3100.04,2977.35,04/14 00:05:39,04/15 03:01:57,79.14%,Chan
ETH/USDT,(20X) ,做空,做空,3099.38,3029.35,04/14 00:05:46,04/15 08:10:56,45.18%,Chan
ETH/USDT,(20X) ,做空,做空,3099.59,2976.87,04/14 00:05:49,04/15 03:01:58,79.17%,Chan
ETH/USDT,(20X) ,做空,做空,3100.69,2977.97,04/14 00:05:54,04/15 03:01:41,79.14%,Chan
ETH/USDT,(20X) ,做空,做空,3101.64,2978.88,04/14 00:05:58,04/15 03:01:37,79.14%,Chan
ETH/USDT,(20X) ,做空,做空,3101.33,2978.60,04/14 00:06:02,04/15 03:01:40,79.14%,Chan
ETH/USDT,(20X) ,做空,做空,3100.70,2978.06,04/14 00:06:05,04/15 03:01:41,79.10%,Chan
ETH/USDT,(20X) ,做空,做空,3100.85,2977.94,04/14 00:06:09,04/15 03:01:41,79.27%,Chan
ETH/USDT,(20X) ,做空,做空,3100.85,2977.97,04/14 00:06:13,04/15 03:01:41,79.25%,Chan
ETH/USDT,(20X) ,做空,做空,3100.00,2977.31,04/14 00:06:24,04/15 03:01:57,79.14%,Chan
BTC/USDT,(5X) ,做空,做空,40111.41,39867.25,04/15 22:13:42,04/18 07:09:32,3.04%,Chan
BTC/USDT,(5X) ,做空,做空,40111.06,39867.25,04/15 22:20:38,04/18 07:09:32,3.03%,Chan
BTC/USDT,(5X) ,做空,做空,40435.97,39867.25,04/15 23:20:18,04/18 07:09:32,7.03%,Chan
BTC/USDT,(20X) ,做多,做多,40380.24,40179.02,04/17 09:08:02,04/17 10:49:10,-9.95%,Chan
BTC/USDT,(20X) ,做空,做空,40164.28,40523.71,04/17 10:55:35,04/17 21:43:32,-17.89%,Chan
BTC/USDT,(20X) ,做空,做空,40164.53,40524.78,04/17 11:01:55,04/17 21:43:29,-17.93%,Chan
BTC/USDT,(20X) ,做空,做空,40332.99,40070.82,04/17 22:09:47,04/18 01:57:46,13.00%,Chan
BTC/USDT,(20X) ,做空,做空,40339.61,40057.23,04/17 22:10:51,04/18 02:07:36,14.00%,Chan
BTC/USDT,(20X) ,做空,做空,40349.92,40047.29,04/17 22:14:58,04/18 02:07:40,15.00%,Chan
NEAR/USDT,(3X) ,做多,做多,15.8750,15.5327,04/18 07:10:34,04/18 08:12:09,-6.46%,Chan
NEAR/USDT,(3X) ,做多,做多,15.8738,15.5964,04/18 07:10:37,04/18 08:12:23,-5.24%,Chan
NEAR/USDT,(3X) ,做多,做多,15.6655,15.5417,04/18 07:41:05,04/18 08:12:03,-2.37%,Chan
ETH/USDT,(20X) ,做多,做多,2981.66,2992.61,04/18 08:07:38,04/18 08:14:49,7.34%,Chan
BTC/USDT,(20X) ,做多,做多,38868.04,38925.74,04/18 12:28:00,04/18 13:28:29,2.96%,Chan
ETH/USDT,(10X) ,做多,做多,2915.08,2921.02,04/18 12:35:56,04/18 13:22:39,2.03%,Chan
SOL/USDT,(5X) ,做多,做多,95.7774,97.6765,04/18 13:01:35,04/18 14:40:36,9.91%,Chan
BTC/USDT,(20X) ,做空,做空,39015.50,38949.26,04/18 14:47:47,04/18 15:36:43,3.39%,Chan
ETH/USDT,(20X) ,做空,做空,2934.20,2921.93,04/18 20:18:20,04/18 21:56:14,8.36%,Chan
ETH/USDT,(20X) ,做空,做空,2938.70,2921.93,04/18 20:21:24,04/18 21:56:14,11.41%,Chan
BTC/USDT,(20X) ,做多,做多,40735.06,41011.72,04/19 12:12:52,04/19 20:35:51,13.58%,Chan
BTC/USDT,(10X) ,做多,做多,40776.78,40999.41,04/19 12:31:21,04/19 20:40:45,5.45%,Chan
NEAR/USDT,(3X) ,做多,做多,17.1621,17.1672,04/20 11:06:58,04/20 20:10:17,0.08%,Chan
ETH/USDT,(5X) ,做多,做多,3087.82,3132.83,04/20 11:50:02,04/20 19:39:52,7.28%,Chan
NEAR/USDT,(3X) ,做多,做多,17.0065,17.3723,04/20 11:53:37,04/20 19:39:57,6.45%,Chan
MATIC/USDT,(3X) ,做多,做多,1.440975,1.442475,04/20 14:29:20,04/20 21:36:31,0.31%,Chan
BTC/USDT,(20X) ,做空,做空,41398.40,41812.38,04/21 07:49:26,04/21 15:57:19,-20.00%,Chan
BTC/USDT,(20X) ,做空,做空,41463.35,41920.83,04/21 14:04:45,04/21 15:58:08,-22.06%,Chan
BTC/USDT,(20X) ,做空,做空,41886.74,42305.60,04/21 16:32:24,04/21 18:19:32,-20.00%,Chan
BTC/USDT,(20X) ,做空,做空,41912.73,42331.85,04/21 16:38:14,04/21 18:19:35,-20.00%,Chan
BTC/USDT,(5X) ,做空,做空,42712.94,42274.63,04/21 21:50:01,04/21 23:43:52,5.13%,Chan
